,Commodity Group,Commodity,Op.,IMO,Vessel,Port,Arrived at Port,Sailed from Port,Berth,Tons,Coord.,Destination / Origin,Time at Port,Time at Berth,Shipper
31140,Grains,Maize,load,9623752,NORD CAPELLA,Rosario - Argentina,2021-06-05 05:40:00,2021-06-08 01:35:00,ADM AGRO Arroyo Seco,29100.0,Enerfo,Malaysia,2.83,1.16,ADM Agro
31141,Grains,Maize,load,9828924,APOLLON,Rosario - Argentina,2021-06-07 01:20:00,2021-06-09 16:25:00,ADM AGRO Arroyo Seco,42110.0,ADM,Egypt,2.63,1.54,ADM Agro
31142,Grains,Maize,load,9667368,KYPROS LAND,Rosario - Argentina,2021-06-06 18:48:00,2021-06-09 17:20:00,VGG,7259.19,Cargill,Malaysia,2.94,0.51,Cargill
31143,Grains,Sorghum,load,9527283,ATMOSPHERE,Rosario - Argentina,2021-06-03 07:30:00,2021-06-11 04:15:00,Unit 6,39362.0,A.Maggi,China,7.86,3.54,A.Maggi
31144,Grains,Maize,load,9763980,JPS AFRODITI,Rosario - Argentina,2021-06-08 23:30:00,2021-06-11 15:30:00,Gral.Lagos,14635.0,Dreyfus,Morocco,2.67,1.25,Dreyfus
31145,Grains,Maize,load,9838486,MEGHNA CROWN,Rosario - Argentina,2021-06-08 17:06:00,2021-06-11 17:30:00,Unit 7,36623.0,ADM,Egypt,3.02,2.65,ADM Agro
31146,Grains,Maize flint,load,9687708,TOMINI BRAVERY,Rosario - Argentina,2021-06-10 01:05:00,2021-06-12 01:50:00,Punta Alvear,8891.99,Cargill,United Kingdom,2.03,0.54,Cargill
31147,Grains,Maize,load,9626651,INDIAN HARMONY,Rosario - Argentina,2021-06-12 19:36:00,2021-06-14 16:45:00,Gral.Lagos,31000.0,Dreyfus,Vietnam,1.88,1.43,Dreyfus
31148,Grains,Maize,load,9582984,RISING WIND,Rosario - Argentina,2021-06-08 20:54:00,2021-06-14 18:20:00,Punta Alvear,41529.72,Nova Agri,Japan,5.89,2.56,Cargill
31149,Grains,Maize,load,9213820,SEAJOY,Rosario - Argentina,2021-06-10 02:06:00,2021-06-15 23:55:00,Unit 7,40562.0,GLTA Foodstuff Trading LLC,Iran,5.91,3.91,ACA
31150,Grains,Wheat,load,9226671,BLUE SAPPHIRE,Rosario - Argentina,2021-06-16 03:50:00,2021-06-17 16:25:00,Punta Alvear,31089.27,Anaconda,Brazil,1.52,1.3,Cargill
31151,Grains,Maize,load,9805673,MH COLUMBIA,Rosario - Argentina,2021-06-16 04:58:00,2021-06-17 18:05:00,ADM AGRO Arroyo Seco,40000.0,ADM,Algeria,1.55,1.46,ADM Agro
31152,Grains,Maize,load,9810757,BALTIC ACE,Rosario - Argentina,2021-06-16 19:06:00,2021-06-20 13:01:00,Gral.Lagos,20400.0,Dreyfus,Egypt,3.75,0.79,Dreyfus
31153,Grains,Sorghum,load,9785354,IONIC PLEIONE,Rosario - Argentina,2021-06-15 05:54:00,2021-06-17 23:32:00,Unit 6,39362.0,A.Maggi,China,2.73,2.34,Union Agrícola Avellaneda Coop. Ltda.
31154,Grains,Sorghum,load,9785354,IONIC PLEIONE,Rosario - Argentina,2021-06-15 05:54:00,2021-06-17 23:32:00,Unit 6,4281.0,A.Maggi,China,2.73,2.34,A.Maggi
31155,Grains,Maize flint,load,9300178,HAINAN ISLAND,Rosario - Argentina,2021-06-18 20:35:00,2021-06-19 06:05:00,Punta Alvear,3621.81,Cofco Int.,United Kingdom,0.4,0.34,ACA
31156,Grains,Maize,load,9346835,ROZTOCZE,Rosario - Argentina,2021-06-19 20:35:00,2021-06-21 15:05:00,Punta Alvear,29682.77,Cargill,Mexico,1.77,1.39,Cargill
31157,Grains,Maize,load,9299604,CATALINA,Rosario - Argentina,2021-06-16 07:50:00,2021-06-22 16:15:00,ADM AGRO Arroyo Seco,39390.0,Invivo,Kuwait,6.35,4.85,ADM Agro
31158,Grains,Maize,load,9566564,NORD PEAK,Rosario - Argentina,2021-06-19 04:06:00,2021-06-23 23:10:00,ADM AGRO Arroyo Seco,38650.0,ADM,Egypt,4.79,1.22,ADM Agro
